1, 1.0000, 0.0000, 1.0000, 1.0000, 0.0440, 0.0440, 0.0000, 0.0440, 0.0440, 0.000000
16, 1.3756, 14.3528, 0.0875, 0.0255, 0.0617, 0.0605, 0.0011, 0.0039, 0.0440, 0.000079
25, 1.5498, 22.9587, 0.0632, 0.0198, 0.0699, 0.0682, 0.0017, 0.0029, 0.0440, 0.000075
25, 1.5657, 23.5063, 0.0624, 0.0283, 0.0707, 0.0689, 0.0018, 0.0028, 0.0440, 0.000076
26, 1.5800, 24.4284, 0.0607, 0.0152, 0.0714, 0.0695, 0.0018, 0.0027, 0.0440, 0.000076
27, 1.5812, 25.4272, 0.0585, 0.0012, 0.0715, 0.0696, 0.0019, 0.0026, 0.0440, 0.000076
28, 1.5826, 26.4252, 0.0565, 0.0014, 0.0717, 0.0697, 0.0020, 0.0026, 0.0440, 0.000076
30, 1.6036, 27.9248, 0.0543, 0.0138, 0.0727, 0.0706, 0.0021, 0.0025, 0.0440, 0.000076
30, 1.6040, 28.4044, 0.0535, 0.0009, 0.0728, 0.0706, 0.0022, 0.0024, 0.0440, 0.000076
31, 1.6109, 29.3976, 0.0519, 0.0068, 0.0731, 0.0709, 0.0022, 0.0024, 0.0440, 0.000076
32, 1.6118, 30.3966, 0.0504, 0.0009, 0.0732, 0.0709, 0.0023, 0.0023, 0.0440, 0.000076
33, 1.6151, 31.3933, 0.0489, 0.0033, 0.0735, 0.0711, 0.0024, 0.0022, 0.0440, 0.000076
35, 1.6683, 33.0001, 0.0481, 0.0320, 0.0759, 0.0734, 0.0025, 0.0022, 0.0440, 0.000076
35, 1.7092, 33.7592, 0.0482, 0.0511, 0.0778, 0.0752, 0.0025, 0.0022, 0.0440, 0.000075
36, 1.7502, 34.7482, 0.0480, 0.0398, 0.0796, 0.0770, 0.0026, 0.0022, 0.0440, 0.000075
38, 1.7915, 35.7269, 0.0477, 0.0405, 0.0815, 0.0788, 0.0027, 0.0022, 0.0440, 0.000075
39, 1.8325, 36.7559, 0.0475, 0.0384, 0.0834, 0.0807, 0.0028, 0.0022, 0.0440, 0.000075
40, 1.8734, 37.6650, 0.0474, 0.0430, 0.0853, 0.0825, 0.0028, 0.0022, 0.0440, 0.000075
41, 1.9144, 38.6640, 0.0472, 0.0394, 0.0871, 0.0843, 0.0029, 0.0021, 0.0440, 0.000075
42, 1.9556, 39.6428, 0.0470, 0.0403, 0.0890, 0.0861, 0.0030, 0.0021, 0.0440, 0.000075
42, 1.9875, 40.0125, 0.0473, 0.0793, 0.0905, 0.0875, 0.0030, 0.0022, 0.0440, 0.000075
43, 2.0085, 40.9915, 0.0467, 0.0210, 0.0915, 0.0884, 0.0031, 0.0021, 0.0440, 0.000075
44, 2.0380, 41.9705, 0.0463, 0.0293, 0.0928, 0.0897, 0.0031, 0.0021, 0.0440, 0.000075
45, 2.0789, 42.9295, 0.0462, 0.0410, 0.0947, 0.0915, 0.0032, 0.0021, 0.0440, 0.000075
46, 2.1200, 43.8884, 0.0461, 0.0411, 0.0966, 0.0933, 0.0033, 0.0021, 0.0440, 0.000075
47, 2.1610, 44.8474, 0.0460, 0.0410, 0.0985, 0.0951, 0.0034, 0.0021, 0.0440, 0.000075
48, 2.2021, 45.8064, 0.0459, 0.0410, 0.1004, 0.0969, 0.0035, 0.0021, 0.0440, 0.000075
49, 2.2431, 46.7654, 0.0458, 0.0410, 0.1023, 0.0987, 0.0035, 0.0021, 0.0440, 0.000076
50, 2.2842, 47.7243, 0.0457, 0.0411, 0.1041, 0.1005, 0.0036, 0.0021, 0.0440, 0.000076
51, 2.3251, 48.6833, 0.0456, 0.0410, 0.1060, 0.1023, 0.0037, 0.0021, 0.0440, 0.000076
52, 2.3662, 49.6422, 0.0455, 0.0410, 0.1079, 0.1041, 0.0038, 0.0021, 0.0440, 0.000076
53, 2.4072, 50.6013, 0.0454, 0.0410, 0.1098, 0.1059, 0.0038, 0.0021, 0.0440, 0.000076
54, 2.4481, 51.5603, 0.0453, 0.0409, 0.1117, 0.1077, 0.0039, 0.0021, 0.0440, 0.000076
55, 2.4891, 52.5193, 0.0452, 0.0410, 0.1135, 0.1095, 0.0040, 0.0021, 0.0440, 0.000076
56, 2.5301, 53.4783, 0.0452, 0.0410, 0.1154, 0.1114, 0.0041, 0.0021, 0.0440, 0.000076
57, 2.5711, 54.4373, 0.0451, 0.0410, 0.1173, 0.1132, 0.0041, 0.0021, 0.0440, 0.000076
58, 2.6122, 55.3962, 0.0450, 0.0411, 0.1192, 0.1150, 0.0042, 0.0021, 0.0440, 0.000076
59, 2.6532, 56.3552, 0.0450, 0.0410, 0.1210, 0.1168, 0.0043, 0.0021, 0.0440, 0.000076
60, 2.6941, 57.3143, 0.0449, 0.0409, 0.1229, 0.1186, 0.0043, 0.0020, 0.0440, 0.000076
61, 2.7351, 58.2734, 0.0448, 0.0410, 0.1248, 0.1204, 0.0044, 0.0020, 0.0440, 0.000076
62, 2.7760, 59.2324, 0.0448, 0.0409, 0.1267, 0.1222, 0.0045, 0.0020, 0.0440, 0.000076
63, 2.8170, 60.1914, 0.0447, 0.0410, 0.1285, 0.1240, 0.0046, 0.0020, 0.0440, 0.000076
64, 2.8580, 61.1504, 0.0447, 0.0410, 0.1304, 0.1258, 0.0046, 0.0020, 0.0440, 0.000076
65, 2.8990, 62.1394, 0.0446, 0.0398, 0.1323, 0.1276, 0.0047, 0.0020, 0.0440, 0.000076
66, 2.9401, 63.1183, 0.0445, 0.0403, 0.1342, 0.1294, 0.0048, 0.0020, 0.0440, 0.000076
67, 2.9811, 64.0774, 0.0445, 0.0410, 0.1361, 0.1312, 0.0049, 0.0020, 0.0440, 0.000076
68, 3.0221, 65.0763, 0.0444, 0.0395, 0.1380, 0.1330, 0.0050, 0.0020, 0.0440, 0.000076
69, 3.0632, 66.0453, 0.0443, 0.0406, 0.1399, 0.1348, 0.0051, 0.0020, 0.0440, 0.000077
70, 3.1040, 67.0244, 0.0443, 0.0400, 0.1418, 0.1366, 0.0051, 0.0020, 0.0440, 0.000077
71, 3.1449, 67.9835, 0.0442, 0.0409, 0.1436, 0.1384, 0.0052, 0.0020, 0.0440, 0.000077
72, 3.1860, 68.9425, 0.0442, 0.0411, 0.1455, 0.1402, 0.0053, 0.0020, 0.0440, 0.000077
73, 3.2270, 69.9514, 0.0441, 0.0391, 0.1474, 0.1420, 0.0054, 0.0020, 0.0440, 0.000077
74, 3.2680, 70.9204, 0.0441, 0.0406, 0.1493, 0.1438, 0.0055, 0.0020, 0.0440, 0.000077
75, 3.3090, 71.8894, 0.0440, 0.0406, 0.1512, 0.1456, 0.0056, 0.0020, 0.0440, 0.000077
76, 3.3501, 72.8684, 0.0440, 0.0402, 0.1531, 0.1474, 0.0056, 0.0020, 0.0440, 0.000077
